,name,param1,param2,homogeneity_score,completeness_score,v_measure_score,silhouette_score
0,SpectralClustering,1,0.5,0.5176594412557004,0.44062237961105916,0.4760443741443618,-0.15534590329655712
1,SpectralClustering,1,0.8,0.523089828463317,0.44491368831699435,0.48084499873885544,-0.15888489707785097
2,SpectralClustering,1,1.0,0.5221128981674156,0.4698176316315024,0.4945867435111635,-0.15958791626906044
3,SpectralClustering,1,1.3,0.505980560576676,0.4729941892355134,0.4889316400955361,-0.21256231283833535
4,SpectralClustering,1,1.6,0.4979546914621403,0.4749873901806733,0.4861999574043636,-0.21331384356931854
5,SpectralClustering,2,0.5,0.5176594412557004,0.44062237961105916,0.4760443741443618,-0.15534590329655712
6,SpectralClustering,2,0.8,0.523089828463317,0.44491368831699435,0.48084499873885544,-0.15888489707785097
7,SpectralClustering,2,1.0,0.5221128981674156,0.4698176316315024,0.4945867435111635,-0.15958791626906044
8,SpectralClustering,2,1.3,0.505980560576676,0.4729941892355134,0.4889316400955361,-0.21256231283833535
9,SpectralClustering,2,1.6,0.4979546914621403,0.4749873901806733,0.4861999574043636,-0.21331384356931854
10,SpectralClustering,3,0.5,0.5176594412557004,0.44062237961105916,0.4760443741443618,-0.15534590329655712
11,SpectralClustering,3,0.8,0.523089828463317,0.44491368831699435,0.48084499873885544,-0.15888489707785097
12,SpectralClustering,3,1.0,0.5221128981674156,0.4698176316315024,0.4945867435111635,-0.15958791626906044
13,SpectralClustering,3,1.3,0.505980560576676,0.4729941892355134,0.4889316400955361,-0.21256231283833535
14,SpectralClustering,3,1.6,0.4979546914621403,0.4749873901806733,0.4861999574043636,-0.21331384356931854
15,SpectralClustering,4,0.5,0.5176594412557004,0.44062237961105916,0.4760443741443618,-0.15534590329655712
16,SpectralClustering,4,0.8,0.523089828463317,0.44491368831699435,0.48084499873885544,-0.15888489707785097
17,SpectralClustering,4,1.0,0.5221128981674156,0.4698176316315024,0.4945867435111635,-0.15958791626906044
18,SpectralClustering,4,1.3,0.505980560576676,0.4729941892355134,0.4889316400955361,-0.21256231283833535
19,SpectralClustering,4,1.6,0.4979546914621403,0.4749873901806733,0.4861999574043636,-0.21331384356931854
20,SpectralClustering,5,0.5,0.5176594412557004,0.44062237961105916,0.4760443741443618,-0.15534590329655712
21,SpectralClustering,5,0.8,0.523089828463317,0.44491368831699435,0.48084499873885544,-0.15888489707785097
22,SpectralClustering,5,1.0,0.5221128981674156,0.4698176316315024,0.4945867435111635,-0.15958791626906044
23,SpectralClustering,5,1.3,0.505980560576676,0.4729941892355134,0.4889316400955361,-0.21256231283833535
24,SpectralClustering,5,1.6,0.4979546914621403,0.4749873901806733,0.4861999574043636,-0.21331384356931854
25,KMeans,k-means++,20.0,0.5115605618659262,0.5218160298394716,0.5166374070362691,-0.06536031563391681
26,KMeans,random,20.0,0.6091149247729036,0.6225542574531425,0.6157612696134286,-0.15980645981937075
27,AgglomerativeClustering,euclidean,ward,0.572923993295591,0.6047451991605944,0.5884046838430234,-0.10741999165555857
28,AgglomerativeClustering,euclidean,complete,0.3970246607100051,0.4687726141023961,0.42992578858479946,-0.1237548029946386
29,AgglomerativeClustering,euclidean,average,0.20293471924776588,0.6412603791279626,0.3083031286332579,-0.2902995905427737
30,AgglomerativeClustering,euclidean,single,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.1808247257830086
31,AgglomerativeClustering,l1,complete,0.2318446489167063,0.7242820111920714,0.35125243465631956,0.37859648065379925
32,AgglomerativeClustering,l1,average,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.3110634633482658
33,AgglomerativeClustering,l1,single,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.3110634633482658
34,AgglomerativeClustering,l2,complete,0.3970246607100051,0.4687726141023961,0.42992578858479946,-0.1237548029946386
35,AgglomerativeClustering,l2,average,0.20293471924776588,0.6412603791279626,0.3083031286332579,-0.2902995905427737
36,AgglomerativeClustering,l2,single,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.1808247257830086
37,AgglomerativeClustering,manhattan,complete,0.2318446489167063,0.7242820111920714,0.35125243465631956,0.37859648065379925
38,AgglomerativeClustering,manhattan,average,0.007543664124885699,0.22724173007689247,0.014602571788471418,0.3110634633482658
