,name,homogeneity_score,completeness_score,v_measure_score,param1,param2,silhouette_score
0,SpectralClustering,0.46499599078051085,0.45842788150209535,0.46168857738873664,1.0,0.5,-0.15534590329655712
1,SpectralClustering,0.4712056078186584,0.46420449918206835,0.46767885348297283,1.0,0.8,-0.15888489707785097
2,SpectralClustering,0.4708057836466494,0.49068872761620946,0.4805416738749733,1.0,1.0,-0.15958791626906044
3,SpectralClustering,0.45803779875661077,0.49593264304676327,0.47623256696145577,1.0,1.3,-0.21256231283833535
4,SpectralClustering,0.4511084460080437,0.4983937791980024,0.47357370475945515,1.0,1.6,-0.21331384356931854
5,SpectralClustering,0.46499599078051085,0.45842788150209535,0.46168857738873664,2.0,0.5,-0.15534590329655712
6,SpectralClustering,0.4712056078186584,0.46420449918206835,0.46767885348297283,2.0,0.8,-0.15888489707785097
7,SpectralClustering,0.4708057836466494,0.49068872761620946,0.4805416738749733,2.0,1.0,-0.15958791626906044
8,SpectralClustering,0.45803779875661077,0.49593264304676327,0.47623256696145577,2.0,1.3,-0.21256231283833535
9,SpectralClustering,0.4511084460080437,0.4983937791980024,0.47357370475945515,2.0,1.6,-0.21331384356931854
10,SpectralClustering,0.46499599078051085,0.45842788150209535,0.46168857738873664,3.0,0.5,-0.15534590329655712
11,SpectralClustering,0.4712056078186584,0.46420449918206835,0.46767885348297283,3.0,0.8,-0.15888489707785097
12,SpectralClustering,0.4708057836466494,0.49068872761620946,0.4805416738749733,3.0,1.0,-0.15958791626906044
13,SpectralClustering,0.45803779875661077,0.49593264304676327,0.47623256696145577,3.0,1.3,-0.21256231283833535
14,SpectralClustering,0.4511084460080437,0.4983937791980024,0.47357370475945515,3.0,1.6,-0.21331384356931854
15,SpectralClustering,0.46499599078051085,0.45842788150209535,0.46168857738873664,4.0,0.5,-0.15534590329655712
16,SpectralClustering,0.4712056078186584,0.46420449918206835,0.46767885348297283,4.0,0.8,-0.15888489707785097
17,SpectralClustering,0.4708057836466494,0.49068872761620946,0.4805416738749733,4.0,1.0,-0.15958791626906044
18,SpectralClustering,0.45803779875661077,0.49593264304676327,0.47623256696145577,4.0,1.3,-0.21256231283833535
19,SpectralClustering,0.4511084460080437,0.4983937791980024,0.47357370475945515,4.0,1.6,-0.21331384356931854
20,SpectralClustering,0.46499599078051085,0.45842788150209535,0.46168857738873664,5.0,0.5,-0.15534590329655712
21,SpectralClustering,0.4712056078186584,0.46420449918206835,0.46767885348297283,5.0,0.8,-0.15888489707785097
22,SpectralClustering,0.4708057836466494,0.49068872761620946,0.4805416738749733,5.0,1.0,-0.15958791626906044
23,SpectralClustering,0.45803779875661077,0.49593264304676327,0.47623256696145577,5.0,1.3,-0.21256231283833535
24,SpectralClustering,0.4511084460080437,0.4983937791980024,0.47357370475945515,5.0,1.6,-0.21331384356931854
25,KMeans,0.4064729062475624,0.371330790700334,0.38810796674647585,k-means++,20.0,-0.14921144698410843
26,KMeans,0.557321781200584,0.49469097007301127,0.5241420358282977,random,20.0,-0.11182812195426259
27,AgglomerativeClustering,0.5594447643120913,0.5330019854326977,0.5459033498665863,euclidean,ward,-0.12024669069392976
28,AgglomerativeClustering,0.40259838528734326,0.35210201942854397,0.37566086778954255,euclidean,complete,-0.13185731788044627
29,AgglomerativeClustering,0.2370086420254117,0.5045610676796211,0.32251946622039124,euclidean,average,-0.27842037484191173
30,AgglomerativeClustering,0.02146117023707067,0.4280269739509705,0.040872979066504986,euclidean,single,0.17869659008690061
31,AgglomerativeClustering,0.27081183325145136,0.7961407772853822,0.40414980251917504,l1,complete,0.3371518414110949
32,AgglomerativeClustering,0.019808746280416924,0.3950706151859262,0.037725923754831615,l1,average,0.28189205004460155
